NEWID,SIZE,SIZEAM,SIZEAF,SIZEJM,SIZEJF,SIZEIN,EXP,FDHO,FDAW,SHEL,TELE,DOM,TEXT,FURN,MAPP,SAPP,CLOT,FOOT,GASO,TRIP,LOCT,HEAL,ENT,FEES,TOYS,READ,EDUC,TOB,REFAGE,REFEDUC,REFRACE,HHTENURE,HHTYPE
644892,4,1,1,2,0,0,30178,3770,883,7133,857,0,0,834,125,38,1208,193,529,596,0,2428,1790,215,210,363,30,0,39,5,1,1,3
644912,3,1,2,0,0,0,10597,1950,161,2205,368,0,0,0,211,20,167,0,640,0,0,1697,156,5,0,86,0,1209,64,3,1,4,4
644922,2,1,1,0,0,0,13715,2353,231,4100,345,425,0,0,0,0,29,29,555,0,0,3705,0,0,0,65,0,0,80,2,1,2,1
644932,1,0,1,0,0,0,13687,1768,792,5709,397,0,0,0,0,0,314,53,479,371,0,2025,522,210,0,203,0,0,87,5,1,4,8
644942,4,1,1,1,1,0,17116,3081,1115,997,321,1178,40,0,0,0,1640,0,2360,0,0,1930,978,0,150,100,0,0,27,3,1,1,2
644952,2,1,1,0,0,0,27426,3160,744,7849,385,25,117,0,0,136,747,0,1360,0,0,1667,2075,1467,579,323,0,0,60,4,1,2,1
644962,4,1,1,1,1,0,56579,3375,1485,11769,329,9341,0,0,0,0,953,61,2480,0,0,3381,1663,788,310,77,0,507,30,3,1,1,3
644972,1,1,0,0,0,0,31655,1365,875,6770,341,0,0,0,0,12,251,48,1029,0,0,617,1057,255,0,224,0,0,40,6,1,1,8
644992,2,1,1,0,0,0,86577,4130,2096,4772,1371,0,215,205,1180,0,3064,262,3334,676,0,1881,9492,8112,153,579,49,1755,53,2,1,1,1
645022,7,2,2,0,0,3,27051,7969,626,9341,1471,0,0,106,0,0,2291,125,1018,0,0,274,189,19,140,4,0,0,30,1,1,4,5
645032,1,0,1,0,0,0,10477,1066,0,2800,270,225,0,13,106,20,33,13,230,0,0,3512,0,0,0,15,0,0,76,1,3,4,8
645042,1,0,1,0,0,0,11178,1040,165,3488,272,674,1,0,0,1,492,158,329,0,0,1047,53,32,0,158,0,0,77,3,1,2,8
645052,2,0,2,0,0,0,49785,4393,3301,13221,346,411,83,0,0,552,1536,478,953,1182,24,6544,6465,2287,2791,457,1101,0,29,4,1,1,9
645082,5,0,2,2,0,1,12626,3809,140,386,271,1400,0,0,0,0,879,0,850,0,0,126,684,0,600,19,300,650,35,4,1,4,7
645122,8,3,3,2,0,0,44817,8762,1010,7275,1895,0,0,95,0,15,1713,103,1812,605,0,3647,2231,140,690,194,132,2470,42,3,1,4,5
645132,2,1,1,0,0,0,15758,1157,150,2750,431,0,20,100,0,5,188,30,716,0,0,60,241,0,66,92,0,455,25,2,1,4,1
645142,1,1,0,0,0,0,21396,2015,2131,7365,710,100,0,0,0,31,373,178,0,319,0,890,1880,1003,0,250,0,0,37,5,1,1,8
645162,1,1,0,0,0,0,5590,1612,75,2171,197,0,0,0,0,0,50,0,0,0,37,614,15,0,0,0,0,702,83,1,1,4,8
645182,1,0,1,0,0,0,40538,2661,1076,7622,225,95,180,0,1449,404,5450,379,996,3628,59,1041,1260,697,223,368,0,0,55,5,1,1,8
645192,2,1,1,0,0,0,38834,1300,275,1689,1192,480,0,0,0,0,110,0,2122,0,0,1860,573,48,0,41,0,0,38,4,1,2,1
645202,2,1,1,0,0,0,32693,3731,999,1618,380,102,0,0,1287,0,414,211,600,0,0,6992,699,28,0,252,0,0,75,1,1,2,1
645242,2,0,2,0,0,0,47330,7345,1302,8146,2625,0,1140,0,0,150,2712,251,1200,3608,0,3891,2698,1056,853,229,967,338,50,5,1,2,9
645252,2,1,1,0,0,0,17823,2509,19,5079,288,875,0,0,0,0,100,0,960,222,0,4309,375,0,20,196,0,0,73,5,1,2,1
645272,5,1,1,1,2,0,92957,7030,1736,18121,785,0,262,52,0,283,6983,488,3016,0,0,6039,5198,945,85,65,45,390,39,6,1,1,3
645302,2,1,1,0,0,0,44439,6910,1080,5061,1227,255,349,500,0,154,1607,380,3050,0,0,4177,4978,3155,1714,107,0,0,58,2,1,2,9
645322,2,1,1,0,0,0,27188,3935,2185,5011,692,376,504,0,2686,33,931,26,1211,724,60,1552,1509,738,0,134,0,325,65,2,1,1,1
645342,2,1,1,0,0,0,22972,3445,150,3326,566,45,50,1092,0,0,426,126,1197,0,0,484,633,22,0,64,0,364,33,3,1,1,9
645382,3,1,1,1,0,0,40020,5509,2274,5635,558,0,0,125,800,0,3428,133,969,636,0,2944,2471,1046,86,188,615,962,55,6,1,1,3
645402,2,1,1,0,0,0,33067,2366,1284,5760,412,0,0,0,0,250,643,0,521,2163,0,1841,1496,1235,0,485,48,637,68,5,1,2,1
645432,2,1,1,0,0,0,24562,3412,498,6820,577,0,0,0,100,35,351,40,994,1279,0,1903,779,259,0,297,0,0,70,5,1,2,1
